Event,Node,Arrival,Mode
1,6,192.87681604944538,None
1,16,192.8860096605949,None
1,35,192.9239095956742,None
1,42,192.99507257420396,None
1,38,193.00565873069314,None
1,25,193.1421535944092,None
1,4,193.23408116004813,None
1,4,193.24274848057232,None
1,34,193.25165278597163,None
1,6,193.29444202672374,None
1,4,193.4451720897068,None
1,32,193.45586990927154,None
1,34,193.49955898099424,None
1,25,193.50939258609844,None
1,25,193.51538723867947,None
1,42,193.64481849950081,None
1,16,193.65019737076017,None
1,6,193.78613709374866,None
1,38,193.82900459167604,None
1,17,193.86731493966587,None
1,16,193.87252625577747,None
1,42,193.88280735783113,None
1,34,193.90886123675142,None
1,42,193.91396848071895,None
1,16,193.95739158697359,None
1,42,193.9629273557788,None
1,32,194.0040874085239,None
1,6,194.03336952467146,None
1,17,194.05914349588363,None
1,17,194.08686785959986,None
1,25,194.0945461772662,None
1,4,194.12080981546217,None
1,4,194.1234958948741,None
1,6,194.378383588451,None
1,17,194.40884004366845,None
1,4,194.48788134294034,None
1,42,194.54817213674983,None
1,4,194.55890324921435,None
1,4,194.5732961369335,None
1,35,194.58001239671347,None
1,34,194.74430333792964,None
1,16,194.7697108017111,None
1,32,194.81253018990557,None
1,35,194.8359650097668,None
1,17,194.9076844918788,None
1,17,194.94346062227015,None
1,35,195.01688618868118,None
1,25,195.03762711776992,None
1,6,195.0612142495898,None
1,35,195.0872416895263,None
1,35,195.09337267801754,None
1,32,195.1184990406024,None
1,32,195.1417949396605,None
1,17,195.1934677269957,None
1,34,195.2310940026342,None
1,42,195.32922600427088,None
1,17,195.37579117729086,None
1,34,195.3838007232387,None
1,4,195.44870064786147,None
1,4,195.4878640307376,None
1,20,195.53496800083715,None
1,34,195.62733355621864,None
1,32,195.68441721484723,None
1,38,196.02622497609156,None
1,42,196.13583824688124,None
1,17,196.19202641929573,None
1,16,196.44073545141111,None
1,32,196.47005710156685,None
1,32,196.5531052605981,None
1,20,196.59856437476864,None
1,25,196.67964438316343,None
1,25,196.69989762764894,None
1,17,196.70738694630714,None
1,20,196.71200355143702,None
1,34,196.74609696071877,None
1,32,196.75933527621365,None
1,4,196.81025801726824,None
1,34,196.84884553427264,None
1,42,196.8562076946146,None
1,34,196.87865293315087,None
0,40,196.90199288342555,1
1,40,196.90199288342555,None
1,6,196.90619743064934,None
1,17,196.96023938575652,None
1,42,197.03518553947026,None
1,32,197.04501568571052,None
1,34,197.08713667599685,None
1,20,197.11568784204582,None
1,20,197.22441862025283,None
1,4,197.2325560744571,None
1,34,197.24499120612208,None
1,25,197.2747865260732,None
1,34,197.28355047840836,None
1,42,197.35905685933983,None
1,25,197.35991520660923,None
1,4,197.39509034309245,None
1,6,197.43830275194264,None
1,6,197.45562598136843,None
1,42,197.50024106152384,None
1,20,197.5528273077922,None
1,40,197.5909102776226,None
1,40,197.59302878050784,None
1,6,197.60231552262317,None
1,4,197.60899875047238,None
1,4,197.63136356637355,None
1,4,197.64832405261993,None
1,34,197.75190304369897,None
1,16,197.8322437153411,None
1,40,197.84490970579267,None
1,17,197.84839202401312,None
1,16,197.91205697653066,None
1,32,197.95769650986546,None
1,42,197.98831878640203,None
1,40,198.00490755757832,None
1,38,198.01618288307245,None
1,25,198.01951229805604,None
1,38,198.0286582891969,None
1,25,198.0501486799758,None
1,34,198.10213026150254,None
1,6,198.11993686159497,None
1,34,198.17853403528594,None
1,17,198.20558321311708,None
1,38,198.24505351320354,None
1,16,198.30743271553212,None
1,34,198.3191303634328,None
1,25,198.40306732486272,None
1,4,198.45713655436487,None
1,40,198.46628775928664,None
1,4,198.49396444372104,None
